time,x,y,z,rx,ry,rz
3.82487e+06,-69.662,365.029,782.245,80.656,-7.2,90.488
3.82493e+06,-69.662,365.029,782.245,80.656,-7.2,90.488
3.82498e+06,-69.662,365.029,782.245,80.656,-7.2,90.488
3.82503e+06,-69.663,365.029,782.245,80.656,-7.2,90.488
3.82509e+06,-69.663,365.03,782.246,80.656,-7.2,90.488
3.82514e+06,-69.663,365.031,782.248,80.656,-7.201,90.489
3.8252e+06,-69.662,365.032,782.25,80.656,-7.202,90.489
3.82525e+06,-69.659,365.045,782.246,80.656,-7.202,90.489
3.8253e+06,-69.62,365.19,782.172,80.657,-7.192,90.487
3.82535e+06,-69.577,365.326,782.155,80.655,-7.203,90.486
3.82541e+06,-69.343,366.282,782.03,80.636,-7.275,90.485
3.82546e+06,-68.903,368.132,781.721,80.595,-7.39,90.487
3.82551e+06,-68.342,370.245,781.225,80.554,-7.468,90.481
3.82557e+06,-67.11,373.41,780.784,80.239,-7.642,90.468
3.82562e+06,-65.216,376.792,780.329,79.588,-7.755,90.437
3.82567e+06,-63.685,378.678,780.13,78.95,-7.766,90.409
3.82573e+06,-60.983,381.254,779.318,77.989,-7.541,90.298
3.82578e+06,-57.417,383.042,778.424,77.126,-7.192,90.009
3.82583e+06,-54.529,384.016,777.868,76.569,-6.946,89.728
3.82589e+06,-49.843,384.944,777.354,75.829,-6.655,89.216
3.82594e+06,-44.712,385.651,776.927,75.371,-6.456,88.575
3.82599e+06,-40.896,385.983,776.692,75.184,-6.365,88.062
3.82605e+06,-34.94,386.478,776.287,75.114,-6.284,87.221
3.8261e+06,-28.236,386.847,775.874,75.127,-6.228,86.255
3.82615e+06,-23.325,386.85,775.712,75.134,-6.213,85.54
3.8262e+06,-15.361,386.536,775.808,75.122,-6.293,84.376
3.82626e+06,-9.752,386.212,776.264,75.077,-6.49,83.561
3.82631e+06,-0.716,385.656,777.166,74.985,-6.888,82.257
3.82636e+06,9.51,384.742,778.103,74.892,-7.304,80.778
3.82642e+06,15.994,383.98,778.625,74.841,-7.536,79.836
3.82647e+06,25.91,382.447,779.163,74.787,-7.774,78.379
3.82652e+06,35.067,380.67,779.439,74.76,-7.896,77.018
3.82658e+06,42.063,379.108,779.56,74.748,-7.949,75.969
3.82663e+06,51.648,376.726,779.692,74.736,-8.008,74.523
3.82668e+06,60.94,374.178,779.834,74.725,-8.071,73.113
3.82674e+06,66.882,372.456,779.979,74.722,-8.14,72.208
3.82679e+06,75.543,369.802,780.27,74.706,-8.273,70.886
3.82684e+06,83.822,367.077,780.594,74.679,-8.418,69.618
3.8269e+06,88.556,365.457,780.833,74.659,-8.525,68.892
3.82695e+06,96.787,362.391,781.112,74.634,-8.648,67.614
3.827e+06,101.807,360.428,781.3,74.618,-8.732,66.83
3.82705e+06,108.963,357.438,781.46,74.623,-8.81,65.696
3.82711e+06,115.529,354.658,781.422,74.853,-8.894,64.614
3.82716e+06,119.67,352.909,781.378,75.095,-8.979,63.916
3.82721e+06,125.595,350.423,781.38,75.617,-9.191,62.888
3.82727e+06,131.152,348.221,781.547,76.307,-9.54,61.899
3.82732e+06,134.956,346.679,781.73,76.758,-9.799,61.226
3.82737e+06,140.673,344.308,782.079,77.434,-10.215,60.212
3.82742e+06,146.524,341.761,782.468,78.101,-10.639,59.173
3.82748e+06,150.414,339.986,782.725,78.532,-10.912,58.479
3.82753e+06,156.348,337.005,782.925,79.147,-11.218,57.406
3.82758e+06,162.011,333.986,782.924,79.857,-11.456,56.341
3.82764e+06,165.734,331.843,782.834,80.289,-11.555,55.634
3.82769e+06,171.265,328.549,782.708,80.923,-11.699,54.581
3.82774e+06,174.921,326.298,782.636,81.314,-11.78,53.971
3.8278e+06,180.24,322.914,782.542,81.812,-11.858,53.356
3.82785e+06,185.56,319.369,782.467,82.171,-11.879,53.111
3.8279e+06,188.438,317.39,782.43,82.314,-11.868,53.157
3.82796e+06,193.585,313.616,782.394,82.361,-11.802,53.221
3.82801e+06,198.281,310.007,782.373,82.293,-11.702,53.429
3.82806e+06,201.241,307.657,782.36,82.228,-11.632,53.553
3.82812e+06,205.292,304.35,782.348,82.126,-11.536,53.667
3.82817e+06,208.947,301.321,782.331,82.092,-11.472,53.712
3.82822e+06,211.101,299.508,782.319,82.086,-11.439,53.732
3.82827e+06,213.774,297.263,782.293,82.13,-11.412,53.817
3.82833e+06,216.044,295.393,782.267,82.251,-11.423,53.928
3.82838e+06,217.331,294.367,782.246,82.381,-11.453,54.001
3.82844e+06,218.891,293.172,782.217,82.621,-11.524,54.119
3.82849e+06,219.999,292.38,782.187,82.865,-11.601,54.304
3.82854e+06,220.544,292.006,782.164,83.007,-11.643,54.452
3.8286e+06,221.093,291.651,782.133,83.173,-11.692,54.677
3.82865e+06,221.395,291.448,782.102,83.267,-11.714,54.815
3.8287e+06,221.775,291.136,782.088,83.298,-11.717,54.931
3.82875e+06,221.997,290.928,782.087,83.288,-11.711,54.94
3.82881e+06,222.046,290.879,782.087,83.283,-11.709,54.932
3.82886e+06,222.037,290.887,782.087,83.283,-11.708,54.933
3.82891e+06,222.024,290.887,782.093,83.283,-11.709,54.934
3.82897e+06,222.024,290.887,782.093,83.283,-11.709,54.934
